6-я Бастионная;92000000000000400;Street;Улица
Ерошенко;92000000000000500;Street;Улица
Инкерманская;92000000000000600;Street;Улица
Адмирала Азарова;92000000000000700;Street;Улица
Алуштинская;92000000000000900;Street;Улица
Археологическая;92000000000001000;Street;Улица
Балканская;92000000000001200;Street;Улица
Башенная;92000000000001300;Street;Улица
Бородинская;92000000000001400;Street;Улица
Будищева;92000000000001600;Street;Улица
3-я Бастионная;92000000000001700;Street;Улица
7 Ноября;92000000000001900;Street;Улица
Ефремова;92000000000002000;Street;Улица
Весенняя;92000000000002100;Street;Улица
Истомина;92000000000002200;Street;Улица
Волжская;92000000000002300;Street;Улица
Адмирала Владимирского;92000000000002400;Street;Улица
Воронина;92000000000002500;Street;Улица
Айвазовского;92000000000002600;Street;Улица
Гавена;92000000000002700;Street;Улица
Амурская;92000000000002800;Street;Улица
Арцеулова;92000000000002900;Street;Улица
Генерала Коломийца;92000000000003000;Street;Улица
Белинского;92000000000003100;Street;Улица
Балтийская;92000000000003300;Street;Улица
Глухова;92000000000003400;Street;Улица
Бестужева;92000000000003500;Street;Улица
Босфорская;92000000000003700;Street;Улица
Громова;92000000000003800;Street;Улица
Дачная;92000000000004000;Street;Улица
Димитрова;92000000000004100;Street;Улица
Вакуленчука;92000000000004200;Street;Улица
Драгунская;92000000000004300;Street;Улица
Выгонная;92000000000004400;Street;Улица
Элеваторная;92000000000004500;Street;Улица
Волынская;92000000000004600;Street;Улица
Загородная;92000000000004700;Street;Улица
Воронежская;92000000000004800;Street;Улица
Связистов;92000000000004900;Street;Улица
Кирова;92000000000005000;Street;Улица
Каменистая;92000000000005200;Street;Улица
Генерала Крейзера;92000000000005300;Street;Улица
Генуэзская;92000000000005400;Street;Улица
Кожанова;92000000000005800;Street;Улица
Готская;92000000000005900;Street;Улица
Кондукторская;92000000000006000;Street;Улица
Грошева;92000000000006100;Street;Улица
Даши Севастопольской;92000000000006300;Street;Улица
Кочнева;92000000000006400;Street;Улица
Драпушко;92000000000006600;Street;Улица
Краснодонцев;92000000000006700;Street;Улица
Эскадренная;92000000000006800;Street;Улица
Крутая;92000000000006900;Street;Улица
Загородная Балка;92000000000007000;Street;Улица
Согласия;92000000000007100;Street;Улица
Курская;92000000000007200;Street;Улица
Линкорная;92000000000007300;Street;Улица
Киянченко;92000000000007500;Street;Улица
Луначарского;92000000000007700;Street;Улица
Бригадная;92000000000007800;Street;Улица
Малярная;92000000000008000;Street;Улица
Керченская;92000000000008100;Street;Улица
Казачья бухта;92000000000008200;Street;Улица
Комарская;92000000000008500;Street;Улица
Корабельная;92000000000008600;Street;Улица
Кочубея;92000000000008900;Street;Улица
Модлинская;92000000000009000;Street;Улица
Красноперекопская;92000000000009100;Street;Улица
Морской Пехоты;92000000000009200;Street;Улица
Кряжева;92000000000009400;Street;Улица
Лесная;92000000000125200;Street;Улица
Новикова-Прибоя;92000000000009800;Street;Улица
Оздоровительная;92000000000010000;Street;Улица
Литовская;92000000000010100;Street;Улица
Оранжерейная;92000000000010200;Street;Улица
Пьянзина;92000000000010400;Street;Улица
Мичурина;92000000000010500;Street;Улица
Мате Залки;92000000000010800;Street;Улица
Маяковского;92000000000010900;Street;Улица
Перекопская;92000000000011100;Street;Улица
Мокроусова;92000000000011300;Street;Улица
Прутовцев;92000000000011400;Street;Улица
Полынная;92000000000011500;Street;Улица
Московская;92000000000011600;Street;Улица
Портовая;92000000000011700;Street;Улица
Приморская;92000000000011900;Street;Улица
Профсоюзная;92000000000012000;Street;Улица
Невская;92000000000012100;Street;Улица
Наваринская;92000000000012200;Street;Улица
2-я Бастионная;92000000000012400;Street;Улица
Рыбаков;92000000000012500;Street;Улица
Океанская;92000000000012600;Street;Улица
5 Декабря;92000000000012700;Street;Улица
Орловская;92000000000012800;Street;Улица
Елецкая;92000000000012900;Street;Улица
Южная;92000000000013000;Street;Улица
Инженерная;92000000000013200;Street;Улица
Рябова;92000000000013400;Street;Улица
Партизанская;92000000000013500;Street;Улица
Авдеева;92000000000013600;Street;Улица
Седова;92000000000013700;Street;Улица
Ереванская;92000000000013900;Street;Улица
Адмирала Фадеева;92000000000014100;Street;Улица
Алексакиса;92000000000014200;Street;Улица
Пляжная;92000000000014300;Street;Улица
Сафронова;92000000000014400;Street;Улица
Инженерная Балка;92000000000014500;Street;Улица
Сенявина;92000000000014600;Street;Улица
Пологая;92000000000014700;Street;Улица
Арсенальная;92000000000014800;Street;Улица
Агатовая;92000000000014900;Street;Улица
Белостокская;92000000000015200;Street;Улица
Адмирала Юмашева;92000000000015300;Street;Улица
Балаклавская;92000000000015500;Street;Улица
Радищева;92000000000015600;Street;Улица
Баумана;92000000000015700;Street;Улица
Силантьева;92000000000015800;Street;Улица
Рыбальченко;92000000000016000;Street;Улица
Сосновая;92000000000016300;Street;Улица
Романова;92000000000016400;Street;Улица
Брянская;92000000000016500;Street;Улица
Артиллеристов;92000000000016700;Street;Улица
Степаняна;92000000000016800;Street;Улица
Витебская;92000000000016900;Street;Улица
Сеченова;92000000000017000;Street;Улица
Большая Морская;92000000000017500;Street;Улица
Рассветная;92000000000017600;Street;Улица
Бахчисарайская;92000000000017700;Street;Улица
Тельмана;92000000000017900;Street;Улица
Борисова;92000000000018000;Street;Улица
Серафимовича;92000000000018100;Street;Улица
Торговая;92000000000018200;Street;Улица
Волочаевская;92000000000018300;Street;Улица
Гидрографическая;92000000000018500;Street;Улица
Строительная;92000000000018600;Street;Улица
Физкультурная;92000000000018700;Street;Улица
Синопская;92000000000018800;Street;Улица
Веерная;92000000000018900;Street;Улица
Флотская;92000000000019000;Street;Улица
Слесарная;92000000000019100;Street;Улица
Генерала Лебедя;92000000000019200;Street;Улица
Хабаровская;92000000000019300;Street;Улица
Хрущева;92000000000019600;Street;Улица
Волгоградская;92000000000019800;Street;Улица
Воровского;92000000000020000;Street;Улица
Суворова;92000000000020100;Street;Улица
Частника;92000000000020200;Street;Улица
Тенистая;92000000000020400;Street;Улица
Чернышевского;92000000000020500;Street;Улица
Террасная;92000000000020600;Street;Улица
Генерала Жидилова;92000000000020700;Street;Улица
Горпищенко;92000000000020800;Street;Улица
Гренадерская;92000000000021000;Street;Улица
Генерала Хрюкина;92000000000021100;Street;Улица
Шабалина;92000000000021200;Street;Улица
Герцена;92000000000021300;Street;Улица
Тургенева;92000000000021400;Street;Улица
Дальняя;92000000000021500;Street;Улица
Шмидта;92000000000021600;Street;Улица
Горького;92000000000021800;Street;Улица
Джанкойская;92000000000021900;Street;Улица
Грибоедова;92000000000022000;Street;Улица
Флюсовая;92000000000022100;Street;Улица
Доронина;92000000000022200;Street;Улица
Дарданельская;92000000000022400;Street;Улица
Халтурина;92000000000022500;Street;Улица
Дунайская;92000000000022600;Street;Улица
Овражная;92000000000022700;Street;Улица
Циолковского;92000000000022800;Street;Улица
Дзержинского;92000000000022900;Street;Улица
Октябрьская;92000000000023100;Street;Улица
Челнокова;92000000000023200;Street;Улица
Запорожская;92000000000023500;Street;Улица
Дундича;92000000000023600;Street;Улица
Черцова;92000000000023900;Street;Улица
Калича;92000000000024100;Street;Улица
Сарматская;92000000000024200;Street;Улица
Шелковичная;92000000000024400;Street;Улица
Западная;92000000000024600;Street;Улица
Щербака;92000000000024800;Street;Улица
Цветочная;92000000000024900;Street;Улица
Килевая;92000000000025000;Street;Улица
Якорная;92000000000025100;Street;Улица
Кузнечная;92000000000025200;Street;Улица
Калюжного;92000000000025300;Street;Улица
Ярославская;92000000000025500;Street;Улица
Вокзальная;92000000000025700;Street;Улица
Каспийская;92000000000025800;Street;Улица
Коммунаров;92000000000025900;Street;Улица
Короленко;92000000000026000;Street;Улица
Квартальная;92000000000026100;Street;Улица
Килен-Балка;92000000000026300;Street;Улица
Комбрига Потапова;92000000000026400;Street;Улица
Котовского;92000000000026500;Street;Улица
Ковпака;92000000000026600;Street;Улица
Краснодарская;92000000000026800;Street;Улица
Корсунская;92000000000027100;Street;Улица
Курганная;92000000000027200;Street;Улица
Коцюбинского;92000000000027300;Street;Улица
Лизы Чайкиной;92000000000027500;Street;Улица
Крупской;92000000000027700;Street;Улица
Курортная;92000000000027800;Street;Улица
Минная;92000000000028100;Street;Улица
Лазурная;92000000000028200;Street;Улица
Литейная;92000000000028300;Street;Улица
Маршала Геловани;92000000000028500;Street;Улица
Минская;92000000000028600;Street;Улица
Малышкина;92000000000028700;Street;Улица
Матюшенко;92000000000028800;Street;Улица
Маршала Крылова;92000000000028900;Street;Улица
Мачтовая;92000000000029000;Street;Улица
Меньшикова;92000000000029100;Street;Улица
Мечникова;92000000000029300;Street;Улица
Михайловская;92000000000029400;Street;Улица
9 Января;92000000000029500;Street;Улица
Могилевская;92000000000029600;Street;Улица
Морпортовская;92000000000029800;Street;Улица
Муссонная;92000000000030000;Street;Улица
Нежинская;92000000000030100;Street;Улица
Абрикосовая;92000000000030300;Street;Улица
Адмирала Клокачева;92000000000030400;Street;Улица
Народных Ополченцев;92000000000030500;Street;Улица
Новикова;92000000000030600;Street;Улица
Акмолинская;92000000000030700;Street;Улица
Одесская;92000000000031000;Street;Улица
Одинцова;92000000000031100;Street;Улица
Астраханская;92000000000031400;Street;Улица
Камышовая;92000000000031500;Street;Улица
Бакинская;92000000000031600;Street;Улица
40 лет Октября;92000000000031700;Street;Улица
Песчаная;92000000000031800;Street;Улица
Александера;92000000000031900;Street;Улица
Барнаульская;92000000000032000;Street;Улица
9 Мая;92000000000032100;Street;Улица
Ивана Франко;92000000000032300;Street;Улица
Паши Ангелиной;92000000000032500;Street;Улица
Очаковцев;92000000000032600;Street;Улица
Братьев Микрюковых;92000000000032800;Street;Улица
Пехотная;92000000000033000;Street;Улица
Адмирала Макарова;92000000000033200;Street;Улица
Папанина;92000000000033300;Street;Улица
Пожарова;92000000000033400;Street;Улица
Аксютина;92000000000033600;Street;Улица
Попова;92000000000033700;Street;Улица
Антоненко;92000000000033800;Street;Улица
Пограничная;92000000000034000;Street;Улица
Промышленная;92000000000034100;Street;Улица
Рейдовая;92000000000034600;Street;Улица
Угольная;92000000000034700;Street;Улица
Пластунская;92000000000034900;Street;Улица
Раздольная;92000000000035000;Street;Улица
Севская;92000000000035400;Street;Улица
Подольцева;92000000000035500;Street;Улица
Братская;92000000000035600;Street;Улица
Сапфирная;92000000000035700;Street;Улица
Бутырская;92000000000035800;Street;Улица
Понтонная;92000000000035900;Street;Улица
Семипалатинская;92000000000036000;Street;Улица
Пригородная;92000000000036100;Street;Улица
Василия Шукшина;92000000000036200;Street;Улица
Сивашская;92000000000036300;Street;Улица
Лучистая;92000000000036400;Street;Улица
Водная;92000000000036500;Street;Улица
Володарского;92000000000036700;Street;Улица
Репина;92000000000036800;Street;Улица
Солнечная;92000000000037000;Street;Улица
Углицкая;92000000000037100;Street;Улица
Степаненко;92000000000037300;Street;Улица
Годлевского;92000000000037600;Street;Улица
Восточная;92000000000037700;Street;Улица
Ревякина;92000000000037800;Street;Улица
Гражданская;92000000000037900;Street;Улица
Генерала Петрова;92000000000038000;Street;Улица
Гумилёва;92000000000038100;Street;Улица
Тарутинская;92000000000038200;Street;Улица
Разъездная;92000000000038300;Street;Улица
Руднева;92000000000038500;Street;Улица
Гончарная;92000000000038600;Street;Улица
Синютина;92000000000038700;Street;Улица
Томская;92000000000038800;Street;Улица
Днепровская;92000000000038900;Street;Улица
Гранатная;92000000000039000;Street;Улица
Древняя;92000000000039100;Street;Улица
Сапунская;92000000000039200;Street;Улица
Гусева;92000000000039400;Street;Улица
Железнякова;92000000000039600;Street;Улица
Селенгинская;92000000000039700;Street;Улица
1-я Бастионная;92000000000039800;Street;Улица
Делегатская;92000000000040000;Street;Улица
Сибирская;92000000000040100;Street;Улица
Флагманская;92000000000040200;Street;Улица
4-я Бастионная;92000000000040300;Street;Улица
Добролюбова;92000000000040400;Street;Улица
Дроздова;92000000000040500;Street;Улица
8 Марта;92000000000040700;Street;Улица
Соловьева;92000000000040800;Street;Улица
Стахановцев;92000000000041100;Street;Улица
Кавказская;92000000000041200;Street;Улица
Закамчатская;92000000000041300;Street;Улица
Стрелковая;92000000000041400;Street;Улица
Сухумская;92000000000041700;Street;Улица
Каховская;92000000000042000;Street;Улица
Казанская;92000000000042300;Street;Улица
Академика Крылова;92000000000042400;Street;Улица
Танкистов;92000000000042500;Street;Улица
Карагандинская;92000000000042600;Street;Улица
Чапаева;92000000000042700;Street;Улица
Черниговская;92000000000043200;Street;Улица
Тульская;92000000000043300;Street;Улица
Клубная;92000000000043600;Street;Улица
Урицкого;92000000000043700;Street;Улица
Костромская;92000000000043800;Street;Улица
Чернореченская;92000000000044000;Street;Улица
Феодосийская;92000000000044200;Street;Улица
Багрия;92000000000044300;Street;Улица
Баркасная;92000000000044600;Street;Улица
